budget,runtime,popularity,vote_average,release_month,revenue
16000000.0,127.0,3.859495,6.1,12,81452156.0
35000000.0,106.0,5.23158,5.5,12,64350171.0
62000000.0,106.0,6.318445,6.5,11,107879496.0
16500000.0,136.0,10.673167,7.2,12,135000000.0
4000000.0,98.0,9.026586,6.5,12,4300000.0
30000000.0,90.0,8.205447999999999,6.1,11,212385533.0
60000000.0,103.0,7.3379059999999985,5.4,11,35431113.0
30250000.0,105.0,12.669608,6.4,10,115101622.0
50000000.0,132.0,11.065939,6.0,10,30303072.0
3600000.0,112.0,10.332025,7.1,10,49800000.0
12000000.0,100.0,8.681325,6.6,10,27400000.0
18000000.0,108.0,9.822423,7.6,5,1738611.0
29500000.0,129.0,12.297305,7.4,12,168840000.0
11000000.0,122.0,6.891317,7.3,12,39363635.0
18000000.0,101.0,10.870138,5.4,8,122195920.0
20000000.0,106.0,10.448481,6.7,5,21284514.0
10000000.0,116.0,4.485958,6.5,10,23574130.0
6000000.0,106.0,16.302466,8.1,7,23341568.0
15000000.0,95.0,15.899134,6.7,9,6700000.0
3500000.0,91.0,14.56965,7.0,4,28215918.0
19000000.0,108.0,15.339153,6.9,1,25836616.0
50000000.0,91.0,5.912223,4.1,11,11534477.0
15000000.0,90.0,2.936443,3.9,1,2042530.0
20000000.0,108.0,12.758848,6.1,9,5781885.0
8000000.0,116.0,4.486179,6.7,12,529766.0
38000000.0,129.0,9.568604,6.3,2,10300000.0
8169363.0,90.0,6.848591000000001,6.1,11,8175346.0
47000000.0,104.0,12.866139,5.7,2,12379402.0
14000000.0,100.0,9.071127,4.5,10,19800000.0
50000000.0,108.0,14.957626,5.7,2,150270147.0
7000000.0,91.0,6.904831,6.8,2,560069.0
12000000.0,92.0,9.592265,6.5,2,41205099.0
24000000.0,135.0,5.951077,7.3,5,182016617.0
1300000.0,114.0,14.092713,8.1,2,28262574.0
7500000.0,91.0,12.314278,6.5,1,32392047.0
25000000.0,113.0,1.522412,5.1,9,6278139.0
40000000.0,117.0,6.506983,5.4,6,70100000.0
7000000.0,92.0,5.579088,6.3,3,14702438.0
50000000.0,95.0,11.418917,5.1,10,9851610.0
31000000.0,117.0,6.4996800000000015,6.7,3,185260553.0
19000000.0,118.0,9.262184,6.5,4,141407024.0
4000000.0,113.0,0.922958,6.0,7,851545.0
28000000.0,139.0,10.193549,6.5,4,31596911.0
2000000.0,83.0,11.528147,6.8,9,1275000.0
11000000.0,91.0,5.391556,5.9,6,178104.0
25000000.0,128.0,4.558992,6.8,9,13071518.0
50000000.0,109.0,7.260574,5.0,6,152022101.0
53000000.0,116.0,8.657364999999999,7.0,5,157387195.0
7000000.0,104.0,6.950458,6.8,8,25405445.0
27000000.0,102.0,4.646132,6.3,9,16140822.0
55000000.0,134.0,15.178338,5.9,7,127600435.0
20000000.0,107.0,14.810519,6.2,9,7563728.0
25000000.0,97.0,11.715868,5.5,5,19075720.0
90000000.0,96.0,8.184814999999999,5.4,6,113493481.0
1500000.0,91.0,4.877872,6.8,7,7412216.0
500000.0,89.0,10.058329,7.2,1,1148752.0
6000000.0,94.0,8.255469999999999,6.8,10,2122561.0
15000000.0,92.0,7.0242270000000016,5.2,6,66000000.0
2.0,95.0,2.466066,6.4,9,1.0
22000000.0,114.0,13.304342000000002,5.6,7,110627965.0
150000.0,94.0,1.165039,5.8,6,472370.0
8.0,98.0,10.187623,6.4,9,16.0
50000000.0,135.0,6.752119,5.5,10,10382407.0
45000000.0,128.0,17.502375,4.9,9,20350754.0
7000000.0,112.0,5.552946,7.2,6,8349430.0
35000000.0,108.0,13.492845,5.5,7,113374103.0
42000000.0,145.0,11.223055,6.8,10,7959291.0
14000000.0,99.0,1.820419,4.6,9,5780000.0
60000000.0,100.0,7.490247,5.6,7,104324083.0
20000000.0,103.0,9.715639,6.5,8,50012507.0
2800000.0,135.0,2.486073,6.7,5,2616503.0
2500000.0,105.0,11.304979,7.7,1,5535405.0
10000000.0,89.0,6.638116,6.2,2,26488734.0
21000000.0,115.0,3.030309,6.3,2,23450000.0
27000.0,92.0,10.513367,7.4,9,3151130.0
25000000.0,97.0,7.438934,6.3,10,22200000.0
55000000.0,123.0,11.812244,5.9,12,214015089.0
18000000.0,127.0,11.720358,7.3,9,5887457.0
15000000.0,103.0,8.182165,5.0,3,12201255.0
5000000.0,99.0,9.438042,6.9,9,3049135.0
10500000.0,113.0,2.688562,6.0,1,26325256.0
60000000.0,123.0,11.970205,7.2,11,223664608.0
14000000.0,139.0,1.596058,5.2,3,2474000.0
60000000.0,109.0,6.710215,4.7,11,37000000.0
2000000.0,105.0,4.126083,6.6,4,21665468.0
30000000.0,133.0,12.199047,7.2,12,160638883.0
17000000.0,106.0,7.698525999999997,6.4,3,7603766.0
45000000.0,123.0,14.287753,6.1,11,112006296.0
6.0,95.0,1.137266,5.6,1,5.0
31000000.0,112.0,5.930957,6.1,12,106683817.0
34000000.0,119.0,11.226856,6.9,8,50282766.0
50000000.0,127.0,13.676444,6.4,3,189859560.0
16000000.0,110.0,20.477329,8.2,9,45284974.0
11000000.0,113.0,1.4335440000000002,6.6,5,2832826.0
400000.0,105.0,1.638622,6.1,2,152322.0
32000000.0,107.0,7.54701,6.2,2,18552460.0
22000000.0,108.0,3.395867,6.4,3,12400000.0
15000000.0,133.0,6.2594330000000005,5.3,12,11300653.0
35000000.0,89.0,8.910461999999997,6.5,11,9771658.0
45000000.0,110.0,10.388183,5.5,10,170362582.0
55000000.0,121.0,13.328924,6.8,10,196567262.0
22000000.0,97.0,9.665424,6.3,11,189833357.0
25000000.0,98.0,7.602086999999999,5.5,3,4064495.0
38000000.0,118.0,8.105708,6.4,11,120000000.0
6000000.0,98.0,2.86007,5.4,5,12000000.0
11000000.0,118.0,10.3919,7.5,12,10032765.0
30000000.0,106.0,5.188399,5.4,8,24048000.0
17000000.0,103.0,15.783615,6.5,4,182057016.0
3000000.0,106.0,5.254847,6.9,9,15119639.0
15000000.0,86.0,11.247957,6.4,2,107217396.0
5000000.0,139.0,11.298195,7.0,9,1862805.0
62000000.0,141.0,7.513244999999999,6.4,8,215887717.0
45000000.0,119.0,15.263829,6.4,7,117615211.0
15000000.0,102.0,15.799335999999998,7.3,5,94000000.0
45000000.0,123.0,3.570874,5.3,6,61947267.0
35000000.0,140.0,5.681522,6.0,12,4858139.0
14000000.0,112.0,9.860522,6.4,10,18090181.0
30000000.0,83.0,10.587232,6.4,3,51132598.0
11500000.0,99.0,6.514592,6.5,2,20079850.0
8000000.0,98.0,5.137903,6.4,7,2000000.0
27000000.0,99.0,8.907074,5.5,9,101646581.0
10000000.0,100.0,3.021526,6.0,11,29392418.0
7000000.0,119.0,0.912909,5.9,9,20851521.0
35000000.0,102.0,13.58449,4.1,12,99423521.0
26000000.0,99.0,6.866634,4.5,11,36800000.0
8000000.0,95.0,8.497643,7.1,12,8946600.0
34000000.0,139.0,8.013617,7.0,9,32255440.0
17080000.0,107.0,1.896273,5.1,1,21011500.0
50000000.0,104.0,11.787784,5.5,5,119208989.0
13000000.0,87.0,6.5596929999999976,5.8,6,428868.0
22000000.0,121.0,6.115628,7.4,9,17287898.0
30000000.0,144.0,8.698509,7.7,11,36516012.0
40000000.0,121.0,14.228963,5.4,8,19726050.0
6900000.0,102.0,6.8652,7.4,9,7993039.0
57000000.0,115.0,11.626116,6.4,10,159055768.0
30000000.0,94.0,8.468869,5.7,10,11146270.0
20000000.0,112.0,5.990572,6.0,7,153698625.0
35000000.0,115.0,4.653462,5.9,12,18635620.0
18000000.0,97.0,7.834351,6.1,8,74189677.0
25000000.0,86.0,13.482371,6.2,5,133752825.0
40000000.0,128.0,12.637158,6.8,7,176997168.0
13000000.0,133.0,7.405895,7.6,12,65796862.0
9000000.0,117.0,8.4337,6.5,9,2395231.0
1500000.0,96.0,4.948569,6.1,10,418961.0
85000000.0,130.0,9.434006,6.1,6,137298489.0
13500000.0,104.0,8.939404,7.1,8,11285588.0
3500000.0,97.0,5.260924,7.2,5,27900000.0
55000000.0,133.0,13.106291,5.8,3,121969216.0
12000000.0,107.0,9.9697,4.8,7,15826984.0
20000000.0,118.0,9.715187,6.1,4,15340000.0
30000000.0,138.0,8.040589,7.2,11,135130999.0
26000000.0,125.0,13.373006,7.6,12,206678440.0
7000000.0,121.0,7.436758,7.1,5,116700000.0
14000000.0,109.0,6.9725990000000015,6.9,7,27515786.0
11000000.0,97.0,5.868677,6.7,3,11439193.0
11500000.0,134.0,12.222576,7.5,11,23237911.0
40000000.0,128.0,4.985157,5.9,6,24332324.0
22000000.0,104.0,8.685798,4.2,4,10696210.0
20000000.0,104.0,17.136672,6.4,7,35739755.0
11500000.0,100.0,9.796318,5.7,9,3275585.0
800000.0,114.0,0.941994,5.6,10,1001437.0
12000000.0,114.0,5.914833,7.2,9,22750363.0
13000000.0,95.0,5.305311,6.4,4,7820688.0
25000000.0,108.0,7.881107000000001,5.4,7,48063435.0
21000000.0,105.0,10.234919,6.5,6,227799884.0
40000000.0,108.0,11.23297,4.9,5,116300000.0
20000000.0,93.0,8.051914,6.1,7,11585483.0
48000000.0,104.0,7.198455,4.0,5,20915465.0
7400000.0,96.0,3.644641000000002,6.1,4,7690013.0
50000000.0,102.0,8.012225,5.0,9,16478900.0
18000000.0,76.0,17.730913,7.6,10,75634409.0
30000000.0,105.0,6.34785,6.2,11,53898845.0
25000000.0,130.0,11.338194,7.4,12,56505065.0
12500000.0,120.0,17.189328,7.5,9,12281551.0
27000000.0,80.0,7.436000999999999,6.2,11,13670688.0
1488423.0,83.0,16.263878,6.9,12,184925486.0
2600000.0,88.0,14.202284,6.9,2,84300000.0
6244087.0,145.0,11.722424,7.7,6,638641.0
7000000.0,98.0,12.61469,7.7,4,60611975.0
4000000.0,86.0,5.263187,4.9,3,16675000.0
4000000.0,78.0,9.834047,7.1,12,55675257.0
30000000.0,129.0,10.326213,7.4,4,102616183.0
12000000.0,108.0,4.405169,5.7,3,4939939.0
38000000.0,79.0,13.217623,6.2,4,28921264.0
13000000.0,91.0,1.2968620000000002,4.8,4,9789900.0
9000000.0,98.0,14.304205,5.7,10,2500000.0
25000000.0,105.0,9.1861,5.5,4,10070000.0
30000000.0,95.0,7.941972,5.3,4,57400547.0
31000000.0,74.0,10.813579,6.5,11,74151346.0
25530000.0,95.0,4.557006,5.3,5,20080020.0
35000000.0,135.0,1.690768,6.7,9,15000000.0
15000000.0,101.0,12.860385,6.3,5,24769466.0
25000000.0,115.0,6.497591000000001,6.1,5,14048372.0
1800000.0,95.0,9.80398,8.0,1,9440272.0
45000000.0,100.0,8.079541,4.7,6,17300889.0
50000000.0,115.0,11.341502,4.4,6,113309743.0
45000000.0,113.0,6.287245,5.9,8,58620973.0
4000000.0,93.0,19.348466,7.8,2,16491080.0
55000000.0,116.0,12.202063,5.7,8,18626419.0
47000000.0,96.0,7.586577,5.7,6,102825796.0
27000000.0,113.0,11.633347,6.7,7,25023434.0
54000000.0,95.0,9.651581,5.4,6,128769345.0
80000000.0,115.0,11.995799,5.8,12,159212469.0
30000000.0,110.0,12.09096,6.7,7,29359216.0
5000000.0,135.0,9.069963,6.9,6,13269963.0
32000000.0,123.0,5.5759919999999985,6.2,7,152036382.0
3500000.0,96.0,10.827266,5.7,8,9482579.0
40000000.0,149.0,13.309013,7.0,7,152266007.0
25000000.0,98.0,3.906949,5.2,7,17193231.0
13000000.0,78.0,9.490858,5.0,7,4619014.0
26000000.0,102.0,10.177303,6.5,9,116400000.0
50000000.0,107.0,15.874491,5.3,8,60209334.0
36000000.0,98.0,10.034915,6.9,8,33459416.0
6000000.0,121.0,6.593011,6.7,8,22231658.0
13000000.0,84.0,6.5546789999999975,5.2,8,17917287.0
15000000.0,87.0,3.4504019999999995,5.0,8,5600000.0
6000000.0,117.0,1.19589,6.8,8,12643776.0
50000000.0,97.0,12.229381,5.6,8,42277365.0
2962051.0,108.0,4.797674,6.6,8,3011195.0
45000000.0,135.0,6.24966,5.9,8,53854588.0
200000.0,109.0,0.124273,6.0,6,300000.0
900000.0,95.0,6.751864,6.7,7,20483423.0
500000.0,88.0,1.143656,6.3,1,431326.0
4500000.0,108.0,12.449574,6.9,9,7011317.0
60000000.0,110.0,7.699967,5.8,1,33956608.0
40000000.0,96.0,12.725343,4.6,8,49627779.0
25000000.0,84.0,7.859132000000002,5.4,9,22611954.0
5000000.0,88.0,8.768288,5.0,9,15116634.0
2540800.0,103.0,11.064858,7.9,4,7200000.0
2723903.0,113.0,5.565203,6.9,8,4500000.0
2500000.0,110.0,10.879289,7.6,10,9500000.0
2479000.0,128.0,18.20822,8.0,5,28000000.0
1000000.0,112.0,17.911314,8.2,8,36764313.0
325000.0,105.0,6.465257,7.7,2,4500000.0
4000000.0,136.0,12.410427,7.8,7,13275000.0
3000000.0,125.0,11.994281,8.1,6,25000000.0
2883848.0,122.0,11.845107,8.0,3,25000000.0
4000000.0,113.0,7.098731,7.7,12,13474588.0
878000.0,102.0,13.916101,7.9,11,10462500.0
375000.0,100.0,5.7825440000000015,7.8,11,1000000.0
2238813.0,113.0,7.359741,7.4,9,10000000.0
1500000.0,119.0,11.954806,7.8,9,12000000.0
1752000.0,110.0,11.709777,8.2,8,5000000.0
839727.0,119.0,15.811921,8.0,4,23217674.0
1400000.0,138.0,12.06308,8.0,11,63463.0
1688000.0,133.0,5.076649,6.4,1,2270000.0
1288000.0,130.0,8.590813,7.7,4,6000000.0
2000000.0,102.0,10.135111,7.8,8,24464742.0
1500000.0,111.0,5.47596,7.3,12,7000000.0
2500000.0,106.0,5.4905050000000015,7.1,8,8750000.0
1365000.0,110.0,5.120036,7.3,10,2279000.0
2033000.0,102.0,10.685036,7.6,5,3981000.0
1020000.0,88.0,9.884516,7.6,10,2000000.0
609000.0,101.0,7.122093,7.4,9,3202000.0
1.0,115.0,6.4288300000000005,7.5,3,5.0
226408.0,93.0,10.573867,7.4,5,1423000.0
3180000.0,130.0,15.031588,8.0,12,9644124.0
1500000.0,129.0,8.168694,7.9,10,9600000.0
114000.0,96.0,14.384198,7.5,10,30000000.0
1300000.0,105.0,6.636872,7.4,12,10750000.0
3000000.0,108.0,11.794846,7.6,2,17570324.0
4.0,89.0,1.914697,6.2,12,25.0
25000000.0,100.0,7.370163000000002,5.3,9,51702483.0
28000000.0,132.0,6.728199000000001,6.8,10,16900000.0
67000000.0,101.0,11.845918,6.2,9,47267001.0
9000000.0,118.0,6.85606,6.9,11,41590886.0
2300000.0,88.0,2.781581,6.2,9,49620.0
38000000.0,118.0,4.990506,5.7,9,17380126.0
50000000.0,113.0,3.998494,5.9,10,22540359.0
5000000.0,127.0,8.722406,6.9,12,28200000.0
14000000.0,98.0,8.307210000000001,6.8,9,154864401.0
3000000.0,79.0,10.636458,6.9,12,22182353.0
6000000.0,139.0,15.11549,7.4,8,102272727.0
812000.0,64.0,14.655879,6.8,10,1600000.0
20000000.0,117.0,10.362012,6.8,10,17900000.0
12000000.0,82.0,10.197106,7.0,7,29800000.0
28000000.0,131.0,16.640522,7.5,7,140767956.0
10000000.0,108.0,6.685948,5.4,3,32101000.0
4500000.0,142.0,11.223572,7.1,5,13417292.0
16000000.0,125.0,2.167132,5.3,9,1985001.0
65000000.0,120.0,14.482345,6.4,10,89456761.0
50000000.0,109.0,10.789928,6.4,10,75000000.0
2400000.0,120.0,5.230661,7.0,10,5731103.0
45000000.0,103.0,3.733574,4.0,1,2154540.0
7000000.0,123.0,3.379677,6.6,2,405000.0
14500000.0,120.0,11.774061,6.7,10,147298761.0
200000.0,94.0,6.578025,6.8,10,4505922.0
44000000.0,147.0,9.198283,7.3,10,165615285.0
3000000.0,100.0,12.416635,7.4,6,4000000.0
2000000.0,89.0,6.048904,7.0,12,18344729.0
2000000.0,82.0,4.331819,6.7,4,11833696.0
7500000.0,108.0,11.400353,7.1,7,62493712.0
4000000.0,94.0,10.714173,7.7,8,20045115.0
2500000.0,111.0,12.109198,7.6,7,50700000.0
1400000.0,104.0,7.853231,7.9,5,3000000.0
6000000.0,100.0,14.044122,7.1,8,213954274.0
1200000.0,99.0,12.22034,8.1,9,14661007.0
6000000.0,120.0,18.206972,7.5,12,138530565.0
6500000.0,97.0,8.051891,6.4,7,30218387.0
38000000.0,140.0,7.829619,6.7,3,34416893.0
3705538.0,112.0,7.404329,6.9,9,62548947.0
12500000.0,100.0,6.792215,7.5,9,10725228.0
12000000.0,151.0,15.417202,7.4,12,30036000.0
60000000.0,107.0,7.046753,5.9,6,157920733.0
1800000.0,125.0,7.301719,7.6,9,8000000.0
12500000.0,99.0,2.772039,7.3,1,1227324.0
36000000.0,129.0,9.178371,6.8,10,20300385.0
5000000.0,113.0,6.5011769999999975,6.7,5,41833347.0
6788000.0,103.0,7.881010000000002,5.9,4,13878334.0
70000000.0,139.0,9.809585,7.1,8,90000098.0
1000000.0,89.0,9.194572,6.4,2,21378361.0
6000000.0,99.0,10.124544,6.9,5,50244700.0
1000000.0,91.0,6.715512,6.4,4,17985893.0
400000.0,91.0,10.43389,7.8,3,5028948.0
7000000.0,80.0,2.661026,5.7,11,1100000.0
4000000.0,99.0,12.565447,7.4,4,1794187.0
645180.0,103.0,5.841931,7.5,7,14743391.0
3000000.0,94.0,3.233531,6.2,8,33946224.0
4.0,119.0,1.325299,6.3,5,29.0
500000.0,71.0,4.101295,8.2,3,3779620.0
16000000.0,98.0,15.15267,7.6,9,30857814.0
350000.0,96.0,16.503959,8.2,3,1000000.0
2200000.0,136.0,17.112594,8.0,12,26589000.0
2000000.0,129.0,14.284787,7.9,12,13129846.0
31500000.0,153.0,13.5963,8.0,8,89460381.0
2500000.0,128.0,6.357321,7.5,1,3200000.0
25000000.0,145.0,15.424092000000002,8.2,9,46836394.0
27000000.0,133.0,10.076901,7.5,6,115229890.0
17000000.0,116.0,13.94148,7.9,6,46357676.0
18000000.0,129.0,8.868558,7.7,11,23000000.0
4000000.0,93.0,18.146043,7.8,4,38251425.0
14000000.0,149.0,8.80338,7.9,9,85000000.0
5500000.0,129.0,12.016821,7.9,12,159616327.0
6400000.0,108.0,19.293562,7.4,10,78371200.0
3000000.0,104.0,13.645568,7.4,8,242623.0
18000000.0,122.0,7.521346,7.4,12,26828365.0
14000000.0,115.0,7.495853,7.5,9,5080409.0
16400000.0,129.0,19.905716,8.1,6,235860116.0
3000000.0,106.0,12.057829,7.6,12,104945305.0
829000.0,95.0,9.665347,7.6,4,2247465.0
6000000.0,130.0,12.29227,7.9,6,30000000.0
3800000.0,126.0,8.070589,7.9,1,4307000.0
19000000.0,144.0,19.611589,8.1,5,44017374.0
8000000.0,89.0,15.206957,7.8,8,52287414.0
3600000.0,84.0,13.520764000000002,7.5,3,5923044.0
14600000.0,101.0,12.989627,7.4,2,70906973.0
14000000.0,131.0,10.942149,7.7,8,159157447.0
80000000.0,126.0,7.991677,7.7,10,96105910.0
11000000.0,130.0,6.584254,7.6,12,119418501.0
8000000.0,124.0,10.888917,7.8,7,553171.0
16000000.0,116.0,16.870392000000002,6.8,3,5900000.0
3000000.0,126.0,9.718713,7.7,6,16217773.0
2800000.0,106.0,9.339316,7.7,12,86273333.0
3500000.0,129.0,8.291886,7.5,10,2015810.0
2000000.0,125.0,9.241748,8.1,10,11000000.0
2280000.0,124.0,8.03796,7.2,11,83320000.0
730000.0,85.0,16.715935,7.6,3,8000000.0
2500000.0,82.0,13.981499,7.6,5,4736202.0
3000000.0,117.0,6.175166,6.9,12,20966644.0
12000000.0,95.0,6.7734070000000015,7.7,7,22244207.0
14400000.0,141.0,11.460364,7.5,11,34700291.0
1900000.0,98.0,6.3799660000000005,7.2,3,3250000.0
6000000.0,110.0,6.714577,7.4,9,102308889.0
